grunnkrets_id,couple_children_0_to_5_years,couple_children_18_or_above,couple_children_6_to_17_years,couple_without_children,single_parent_children_0_to_5_years,single_parent_children_18_or_above,single_parent_children_6_to_17_years,singles
2191402,31,19,16,36,0,0,18,69
2191013,157,62,145,122,14,18,25,105
2190916,88,21,82,46,0,0,10,30
2190914,55,39,159,62,7,8,23,27
16640121,0,0,0,0,0,0,0,0
5020404,0,0,0,0,0,0,0,3
16015119,0,0,0,0,0,0,0,3
11031736,0,0,0,0,0,0,0,3
12010146,0,0,0,0,0,0,0,0
16340107,14,0,11,16,0,0,0,3
16011201,0,0,0,0,0,0,0,3
17240107,0,0,0,6,0,0,0,3
5200117,0,0,0,0,0,0,0,3
7091301,0,0,0,0,0,0,0,0
11020104,0,0,0,0,0,0,0,3
16440110,0,0,0,0,0,0,0,0
2191419,0,0,0,0,0,0,0,3
5290317,0,0,0,0,0,0,0,0
4030511,0,0,0,0,0,0,0,3
11060402,0,0,0,0,0,0,0,0
3015801,0,0,0,0,0,0,0,0
16170104,0,0,0,0,0,0,0,3
11031813,0,0,0,0,0,0,0,3
4380210,0,0,10,0,0,0,0,0
18450102,0,0,0,0,0,0,0,3
16630509,0,0,0,0,0,0,0,0
16017409,0,0,0,0,0,0,0,0
16360213,0,0,0,0,0,0,0,0
10010410,0,0,0,0,0,0,0,3
16011508,0,0,0,0,0,0,0,0
12430405,146,29,95,130,13,22,18,81
14310102,40,17,59,50,16,6,18,24
11020801,228,67,144,190,15,6,18,107
2190711,40,29,49,28,6,10,18,57
11030803,94,26,115,80,0,6,18,90
2310204,24,29,22,176,0,8,20,169
2201506,110,43,112,98,0,11,18,38
18410301,57,17,103,78,10,8,18,58
2190518,34,7,19,34,4,4,18,33
9280108,53,33,82,68,0,10,18,52
19021308,106,49,80,102,0,20,18,99
5280310,85,42,96,86,0,0,20,78
11300106,104,34,150,116,14,11,18,57
18330214,68,19,43,52,11,7,18,88
15020704,155,30,132,120,14,6,18,48
1066204,54,38,97,56,22,0,18,31
9065206,5,0,11,16,0,0,18,26
11190207,103,40,100,148,10,10,20,92
2201102,95,41,94,88,6,8,20,106
6260304,64,64,118,82,8,11,20,60
5020107,33,9,43,72,8,19,20,63
18040205,29,24,66,36,0,8,20,44
8110105,64,50,88,76,10,13,18,41
17140203,54,44,40,56,0,5,20,33
6240402,84,36,103,148,0,11,20,48
4120403,40,13,96,126,0,8,20,101
19230114,7,15,12,42,0,8,18,30
11140109,40,24,39,62,0,5,18,36
1040101,91,24,159,68,9,19,18,53
12560205,122,24,94,184,15,17,18,155
11020605,207,83,197,158,11,16,20,111
6260903,118,47,123,138,0,19,20,65
20270107,75,35,57,46,25,7,20,65
7090802,35,37,101,156,10,13,20,116
1360304,77,31,104,64,0,6,20,57
5010705,98,28,98,84,0,8,20,58
1065505,76,59,112,144,0,12,20,63
7130305,107,31,93,118,8,14,20,83
12010205,69,16,71,232,4,18,20,401
4270405,113,37,177,204,8,30,20,156
2310307,118,34,142,100,7,4,20,58
12530206,30,0,21,24,0,7,20,26
17180107,62,37,96,140,0,5,20,138
19030101,51,15,39,44,5,0,20,28
16017514,111,43,141,124,15,16,20,72
12330107,52,34,94,92,17,10,20,48
11060213,104,45,118,172,18,16,20,78
14200208,109,69,120,190,0,13,20,211
9061306,75,26,87,120,25,10,20,90
10030310,82,28,102,96,5,8,20,61
15050702,78,37,132,118,10,22,20,156
2191403,73,25,126,82,0,15,20,32
2370202,35,42,48,66,12,8,20,58
17030308,25,15,33,46,6,0,20,36
17210403,84,57,133,110,9,0,20,67
7060203,43,22,53,94,7,4,20,51
14450205,74,47,81,88,0,18,20,91
7041203,39,0,0,30,0,13,20,73
7061010,64,9,57,84,12,8,20,84
5360203,34,19,66,64,9,19,18,55
16380408,124,35,170,72,15,10,18,51
15190403,80,59,108,104,6,31,18,183
6040107,53,26,75,82,0,11,18,41
3011603,143,15,6,146,20,11,18,194
18480208,59,31,49,74,10,6,18,71
11240202,32,29,71,50,4,9,18,47
2190809,44,6,0,34,0,15,18,67
4200402,19,0,22,88,0,9,18,155
2160605,56,58,164,110,0,13,18,85
1380204,37,22,41,70,0,7,18,47
4120313,39,19,34,170,4,6,18,172
15480502,85,59,64,106,5,19,18,88
1360310,132,65,213,86,7,16,18,62
1040506,41,13,0,84,12,15,18,112
2191408,151,16,111,46,0,11,18,54
14260309,82,33,150,86,0,11,18,78
5160303,24,11,23,54,6,10,18,110
2190606,102,30,149,78,0,16,18,52
2380207,23,14,21,114,0,6,18,126
6260108,101,18,95,22,6,14,18,70
11030804,115,32,111,160,12,8,20,178
15340401,48,27,73,42,4,0,18,40
17140415,110,50,99,104,19,4,18,46
16011423,98,34,66,96,0,6,18,81
2190802,79,43,127,66,0,8,18,54
14010304,40,27,62,40,0,9,18,73
14290206,106,38,109,88,12,11,18,110
18050702,84,40,46,76,4,8,18,89
17020201,26,22,16,314,7,15,18,262
5420115,66,35,83,116,16,17,18,121
11350403,43,23,46,70,5,0,18,20
11030502,56,9,13,94,0,6,18,212
8340207,34,21,25,32,0,8,18,30
15160103,38,23,104,36,0,7,18,37
10180111,82,23,92,88,0,11,18,66
7091306,60,42,71,148,0,11,18,84
12470104,76,68,141,96,14,16,18,93
7061101,61,45,132,126,18,18,18,123
18240103,64,15,28,28,0,0,18,23
12210504,122,51,99,134,9,9,18,63
11031907,148,39,68,184,8,24,18,248
1051204,92,49,113,136,0,14,18,62
19170104,61,42,48,78,6,0,18,59
16014302,116,53,117,264,0,14,18,249
7010706,12,29,69,166,5,16,18,90
2310201,42,53,45,314,0,17,18,260
17190702,40,10,23,66,7,0,18,40
12010508,60,34,95,98,0,8,18,125
3011707,62,0,22,180,17,11,18,450
4030409,54,15,47,100,9,15,18,316
20230101,51,28,55,76,7,19,18,97
5010606,79,25,80,100,12,6,18,102
15160104,70,6,66,70,0,8,18,24
10260103,53,31,58,34,0,11,18,53
7090905,94,6,42,62,0,11,18,51
16012304,118,29,143,98,0,12,18,60
5010601,51,24,14,92,0,12,18,175
2110223,131,12,81,68,9,6,18,45
5280501,36,20,39,60,0,9,18,32
2360208,183,78,151,180,22,24,18,130
9400107,73,30,71,56,0,10,18,83
18130310,74,30,58,112,0,14,18,91
11190205,114,36,132,74,9,0,18,48
18710209,48,18,67,74,5,6,18,56
2200802,133,50,164,82,6,6,18,64
17190501,35,55,99,126,7,9,18,58
16017501,139,80,128,146,9,10,18,116
8061403,135,47,101,142,10,18,18,98
18480204,31,32,69,56,10,12,18,41
18680107,56,63,76,80,13,24,18,83
8061801,114,37,138,122,12,8,18,74
6270307,156,44,150,104,6,10,18,70
7060716,87,52,86,124,8,24,18,85
10170301,64,22,40,64,0,10,18,32
10370105,63,33,31,52,0,0,18,25
18040515,38,0,18,12,8,0,18,9
16480205,37,58,78,54,0,14,18,71
12470301,154,26,81,144,8,11,18,73
7061118,89,50,144,126,0,8,19,65
18040302,56,26,104,78,0,6,20,35
9040101,46,25,43,26,0,10,19,29
10020405,111,48,126,100,0,18,19,92
15050305,57,13,30,60,0,11,19,115
2210403,71,31,77,82,13,9,19,61
2330208,84,34,71,78,0,25,19,56
11060301,106,29,56,88,11,15,19,112
6230401,38,33,44,76,7,4,19,46
18040707,78,31,111,76,9,4,19,22
17140116,49,25,76,36,6,0,19,39
4120307,39,42,45,134,9,21,19,147
8050804,61,23,73,74,7,11,19,57
10210106,60,26,59,86,9,10,19,60
4150301,32,13,36,36,6,8,19,33
17030102,64,52,135,108,16,7,19,72
12011505,72,79,121,112,6,10,19,57
12530403,29,19,43,44,0,0,19,22
11240601,200,106,176,182,16,10,19,140
2370616,102,21,84,58,7,16,19,45
3010805,75,34,38,354,9,14,19,516
8050507,66,16,27,58,7,8,19,65
15660404,9,0,40,32,0,4,19,13
9280109,51,28,35,46,7,0,19,94
12660110,47,27,46,40,7,0,19,41
3013609,280,113,433,198,4,24,19,132
2370801,16,19,49,34,10,9,19,20
12010626,69,26,77,160,6,13,19,174
2370404,86,32,94,264,14,18,19,253
5340301,38,30,113,66,0,5,19,69
8050202,37,10,51,40,15,0,22,51
16340307,63,27,46,68,5,12,22,25
7040702,127,60,174,198,10,14,22,91
12190504,167,56,143,124,0,16,22,78
20030204,40,33,98,88,0,15,22,60
3011302,133,0,45,358,5,15,22,614
11340208,115,50,101,76,9,17,22,59
