grunnkrets_id,all_households,singles,couple_without_children,couple_with_children,other_households,single_parent_with_children
2191013,568600,302800,749800,1127100,931900,473600
2190914,586300,292900,717300,1088400,869100,488200
2190916,586300,292900,717300,1088400,869100,488200
2191402,479800,305100,685000,864500,741500,415600
6260602,605300,305500,703700,870100,833700,433500
17380108,495200,245800,578000,762600,764200,389200
3010209,347000,282300,559700,656400,554500,350600
6260603,605300,305500,703700,870100,833700,433500
12220104,580800,281100,623700,777000,884500,376100
12220111,580800,281100,623700,777000,884500,376100
17380102,495200,245800,578000,762600,764200,389200
3010208,347000,282300,559700,656400,554500,350600
3010211,347000,282300,559700,656400,554500,350600
3010202,347000,282300,559700,656400,554500,350600
18660307,466500,270900,610900,736900,706500,374200
18660304,466500,270900,610900,736900,706500,374200
6260604,605300,305500,703700,870100,833700,433500
6021052,663600,300700,655700,862100,839000,431000
12220105,580800,281100,623700,777000,884500,376100
19230108,442600,268600,594900,786800,729000,395300
19230106,442600,268600,594900,786800,729000,395300
19230103,442600,268600,594900,786800,729000,395300
19230110,442600,268600,594900,786800,729000,395300
19230105,442600,268600,594900,786800,729000,395300
19230102,442600,268600,594900,786800,729000,395300
12220114,580800,281100,623700,777000,884500,376100
19230107,442600,268600,594900,786800,729000,395300
19230114,442600,268600,594900,786800,729000,395300
19230101,442600,268600,594900,786800,729000,395300
11600403,523600,271300,562900,859800,0,0
11600401,523600,271300,562900,859800,0,0
12220103,580800,281100,623700,777000,884500,376100
11600402,523600,271300,562900,859800,0,0
6021008,663600,300700,655700,862100,839000,431000
11600404,523600,271300,562900,859800,0,0
19190106,438500,264500,517800,685900,767900,420300
17140503,406100,261200,562900,744600,715700,354800
6021022,663600,300700,655700,862100,839000,431000
6021007,663600,300700,655700,862100,839000,431000
12220109,580800,281100,623700,777000,884500,376100
10170104,479300,272400,610900,706700,0,0
10170103,479300,272400,610900,706700,0,0
16400204,468600,275200,542800,718500,782700,416400
10170102,479300,272400,610900,706700,0,0
2190105,488500,330200,703700,915700,775200,485400
2190103,488500,330200,703700,915700,775200,485400
2190116,488500,330200,703700,915700,775200,485400
2190118,488500,330200,703700,915700,775200,485400
10170107,479300,272400,610900,706700,0,0
12220112,580800,281100,623700,777000,884500,376100
16400209,468600,275200,542800,718500,782700,416400
8280301,448900,247400,468200,766600,0,0
6021031,663600,300700,655700,862100,839000,431000
12220106,580800,281100,623700,777000,884500,376100
12220107,580800,281100,623700,777000,884500,376100
6021053,663600,300700,655700,862100,839000,431000
6021025,663600,300700,655700,862100,839000,431000
6021028,663600,300700,655700,862100,839000,431000
18050503,367700,280100,583000,691400,617100,342900
20140112,409900,253200,517800,739200,751300,434400
6021001,663600,300700,655700,862100,839000,431000
6021019,663600,300700,655700,862100,839000,431000
18050501,367700,280100,583000,691400,617100,342900
18050504,367700,280100,583000,691400,617100,342900
18050502,367700,280100,583000,691400,617100,342900
6021038,663600,300700,655700,862100,839000,431000
6021005,663600,300700,655700,862100,839000,431000
6021042,663600,300700,655700,862100,839000,431000
19190101,438500,264500,517800,685900,767900,420300
19190109,438500,264500,517800,685900,767900,420300
6021030,663600,300700,655700,862100,839000,431000
6021012,663600,300700,655700,862100,839000,431000
6021014,663600,300700,655700,862100,839000,431000
6021017,663600,300700,655700,862100,839000,431000
6021049,663600,300700,655700,862100,839000,431000
6021047,663600,300700,655700,862100,839000,431000
17380101,495200,245800,578000,762600,764200,389200
6021048,663600,300700,655700,862100,839000,431000
10170101,479300,272400,610900,706700,0,0
10011304,508900,269800,579800,694900,758700,367500
10011301,508900,269800,579800,694900,758700,367500
10011305,508900,269800,579800,694900,758700,367500
10011302,508900,269800,579800,694900,758700,367500
10170105,479300,272400,610900,706700,0,0
19190108,438500,264500,517800,685900,767900,420300
6021016,663600,300700,655700,862100,839000,431000
1063203,507400,263400,567000,713000,765400,384900
3010204,347000,282300,559700,656400,554500,350600
2191304,686400,357400,773200,1069000,954400,527700
2191306,686400,357400,773200,1069000,954400,527700
6260702,469000,272400,623700,784400,808300,420800
6260601,605300,305500,703700,870100,833700,433500
2190119,488500,330200,703700,915700,775200,485400
2190107,488500,330200,703700,915700,775200,485400
2190122,488500,330200,703700,915700,775200,485400
17380103,495200,245800,578000,762600,764200,389200
1061705,468700,266600,578000,788900,736200,372200
1061703,468700,266600,578000,788900,736200,372200
1061704,468700,266600,578000,788900,736200,372200
1061702,468700,266600,578000,788900,736200,372200
1061707,468700,266600,578000,788900,736200,372200
2191301,686400,357400,773200,1069000,954400,527700
14440103,552400,256800,535000,750200,813500,412700
2190106,488500,330200,703700,915700,775200,485400
2190101,488500,330200,703700,915700,775200,485400
20140101,409900,253200,517800,739200,751300,434400
20140109,409900,253200,517800,739200,751300,434400
14440107,552400,256800,535000,750200,813500,412700
14440101,552400,256800,535000,750200,813500,412700
7060306,527200,285700,615000,798100,778600,365500
7060301,527200,285700,615000,798100,778600,365500
7060305,527200,285700,615000,798100,778600,365500
7060304,527200,285700,615000,798100,778600,365500
15390407,441600,275900,579800,758300,807400,374900
15390405,441600,275900,579800,758300,807400,374900
15390404,441600,275900,579800,758300,807400,374900
20140105,409900,253200,517800,739200,751300,434400
6260703,469000,272400,623700,784400,808300,420800
6260701,469000,272400,623700,784400,808300,420800
2191302,686400,357400,773200,1069000,954400,527700
6021020,663600,300700,655700,862100,839000,431000
12220110,580800,281100,623700,777000,884500,376100
12220113,580800,281100,623700,777000,884500,376100
18660301,466500,270900,610900,736900,706500,374200
18660306,466500,270900,610900,736900,706500,374200
16570102,610200,269100,594900,737200,870400,381600
2160301,571700,285400,647000,783000,772100,406300
2160304,571700,285400,647000,783000,772100,406300
2160303,571700,285400,647000,783000,772100,406300
2160302,571700,285400,647000,783000,772100,406300
6040607,563200,306700,679000,931900,920000,428600
6040601,563200,306700,679000,931900,920000,428600
6040609,563200,306700,679000,931900,920000,428600
6040605,563200,306700,679000,931900,920000,428600
6040608,563200,306700,679000,931900,920000,428600
6040602,563200,306700,679000,931900,920000,428600
6040604,563200,306700,679000,931900,920000,428600
6040606,563200,306700,679000,931900,920000,428600
6040603,563200,306700,679000,931900,920000,428600
15390408,441600,275900,579800,758300,807400,374900
15390412,441600,275900,579800,758300,807400,374900
15390402,441600,275900,579800,758300,807400,374900
15390403,441600,275900,579800,758300,807400,374900
10011904,597900,309700,607700,811600,841500,392600
10011902,597900,309700,607700,811600,841500,392600
12220108,580800,281100,623700,777000,884500,376100
19190105,438500,264500,517800,685900,767900,420300
19190110,438500,264500,517800,685900,767900,420300
19190104,438500,264500,517800,685900,767900,420300
15390401,441600,275900,579800,758300,807400,374900
3010206,347000,282300,559700,656400,554500,350600
15390406,441600,275900,579800,758300,807400,374900
15390409,441600,275900,579800,758300,807400,374900
1063204,507400,263400,567000,713000,765400,384900
1063201,507400,263400,567000,713000,765400,384900
1063206,507400,263400,567000,713000,765400,384900
1063209,507400,263400,567000,713000,765400,384900
1063207,507400,263400,567000,713000,765400,384900
15390411,441600,275900,579800,758300,807400,374900
1063205,507400,263400,567000,713000,765400,384900
8280303,448900,247400,468200,766600,0,0
8280304,448900,247400,468200,766600,0,0
1063202,507400,263400,567000,713000,765400,384900
16570101,610200,269100,594900,737200,870400,381600
16570103,610200,269100,594900,737200,870400,381600
16570107,610200,269100,594900,737200,870400,381600
10170106,479300,272400,610900,706700,0,0
19230104,442600,268600,594900,786800,729000,395300
19230112,442600,268600,594900,786800,729000,395300
3010205,347000,282300,559700,656400,554500,350600
18660302,466500,270900,610900,736900,706500,374200
19230113,442600,268600,594900,786800,729000,395300
19230111,442600,268600,594900,786800,729000,395300
18660303,466500,270900,610900,736900,706500,374200
3010203,347000,282300,559700,656400,554500,350600
19190107,438500,264500,517800,685900,767900,420300
19190103,438500,264500,517800,685900,767900,420300
19190102,438500,264500,517800,685900,767900,420300
3010201,347000,282300,559700,656400,554500,350600
3010210,347000,282300,559700,656400,554500,350600
3010207,347000,282300,559700,656400,554500,350600
19230109,442600,268600,594900,786800,729000,395300
6021013,663600,300700,655700,862100,839000,431000
6021015,663600,300700,655700,862100,839000,431000
6021018,663600,300700,655700,862100,839000,431000
16570105,610200,269100,594900,737200,870400,381600
7040705,641400,275000,710100,908200,932500,463700
7060303,527200,285700,615000,798100,778600,365500
7060302,527200,285700,615000,798100,778600,365500
14440102,552400,256800,535000,750200,813500,412700
14440105,552400,256800,535000,750200,813500,412700
14440104,552400,256800,535000,750200,813500,412700
14440106,552400,256800,535000,750200,813500,412700
