store_id,year,store_name,plaace_hierarchy_id,sales_channel_name,grunnkrets_id,address,lat,lon,chain_name,mall_name,revenue
983540538-974187930-44774,2016,MCDONALD'S BRAGERNES TORG MAGASINET,1.1.1.0,Hamburger restaurants,6020303,BRAGERNES TORG 13,59.743104058362704,10.204927885979,MCDONALDS,Magasinet Drammen,17.998
987074191-973117734-44755,2016,MCDONALD'S KLINGENBERGGATA,1.1.1.0,Hamburger restaurants,3010306,KLINGENBERGGATA 4,59.9137594158249,10.7340307646896,MCDONALDS,,23.828000000000003
984890265-981157303-64491,2016,BURGER KING HØNEFOSS,1.1.1.0,Hamburger restaurants,6050102,KONG RINGS GATE 1,60.1647505705996,10.2546558936519,BURGER KING,Kuben Hønefoss,16.099
914057442-992924179-126912,2016,BURGER KING GLASSHUSPASSASJEN,1.1.1.0,Hamburger restaurants,18040102,STORGATA 12,67.28366871498261,14.379796237766,BURGER KING,Glasshuspassasjen,9.296
913018583-913063538-668469,2016,BURGER KING TILLERTORGET,1.1.1.0,Hamburger restaurants,16017414,IVAR LYKKES VEG 3,63.3580678289847,10.3748324689957,BURGER KING,Tillertorget,4.5280000000000005
998035295-979540094-54657,2016,BURGER KING STAVANGER,1.1.1.0,Hamburger restaurants,11030509,TORGET 7,58.97024923704471,5.73172760138605,BURGER KING,Arkaden Torgterrassen,12.02
916757433-916772262-822439,2016,BURGER KING NARVIK,1.1.1.0,Hamburger restaurants,18050706,BOLAGSGATA 1,68.4380251845451,17.4229163481462,BURGER KING,Amfi Narvik,7.622000000000001
913158733-913203305-675470,2016,GRENSEN BURGERBAR,1.1.1.0,Hamburger restaurants,1010301,OLAV VS GATE 1,59.1191746379136,11.3895724052761,,,3.64
982174139-982239737-14482,2016,MCDONALD'S ÅSANE SENTER,1.1.1.0,Hamburger restaurants,12010915,ÅSANE SENTER 37,60.4651181545656,5.3241008442042,MCDONALDS,Åsane Storsenter,30.514
916217153-911834553-435311,2016,BERGBYS NOTODDEN,1.1.1.0,Hamburger restaurants,8070301,NESØYA,59.559078756152,9.24938017107116,BERGBYS,,6.339
911917696-911923149-620844,2016,DUDEBURGER.NO,1.1.1.0,Hamburger restaurants,5010512,GUDBRANDSDALSVEGEN 191,61.1289255639466,10.4522475337707,,,5.02
917580618-917676909-855902,2016,BURGER KING TRIADEN LØRENSKOG STORSENTER,1.1.1.0,Hamburger restaurants,2300312,ISAK H. WIIKS GATE 3,59.9191467372363,10.952195039612,BURGER KING,Triaden Lørenskog Storsenter,1.873
999257828-999539467-544070,2016,HEMSEDAL BURGER,1.1.1.0,Hamburger restaurants,6180101,HEMSEDALSVEGEN,60.862796074739,8.55637552209631,,,3.445
983824072-983830064-55039,2016,MCDONALD'S NIDARVOLL,1.1.1.0,Hamburger restaurants,16014202,BAARD IVERSENS VEG 2,63.4011026216634,10.403469785753,MCDONALDS,,22.229
915953964-916000669-789430,2016,BURGER KING CITY NORD,1.1.1.0,Hamburger restaurants,18040312,STORMYRVEIEN,67.2776495819776,14.4226540432695,BURGER KING,City Nord,12.524
918023925-918087567-872230,2016,BURGER KING AMFI KANEBOGEN,1.1.1.0,Hamburger restaurants,19030306,SKILLEVEIEN,68.77943861059249,16.566267033764,BURGER KING,Amfi Kanebogen,0.456
915123171-984245270-62920,2016,EURO HAMBURGER,1.1.1.0,Hamburger restaurants,3012402,HERSLEBS GATE 7 A,59.9186378028236,10.762710613448998,,,2.128
917992428-918048308-870613,2016,BURGER KING STORD,1.1.1.0,Hamburger restaurants,12210305,HAMNEGATA 11,59.7785066626021,5.499305865554089,BURGER KING,Amfi Stord,0.895
997818822-983493424-62501,2016,BURGER KING KRISTIANSUND,1.1.1.0,Hamburger restaurants,15050201,KONGENS PLASS 4,63.110582606796704,7.72956764872321,BURGER KING,,5.127000000000001
998709652-998719038-423291,2016,DØGNVILL BAR & BURGER,1.1.1.0,Hamburger restaurants,11030509,SKAGENKAIEN 5,58.9706295765863,5.73123559590246,VULKAN BURGERBAR,,28.881
916762259-916788622-823140,2016,BURGER KING FINNSNES,1.1.1.0,Hamburger restaurants,19310302,STORGATA 7,69.2292317987247,17.980280469949697,BURGER KING,Amfi Finnsnes,6.709
913646797-913718712-696097,2016,MUNCHIES GRUNERLØKKAMUNCHISE,1.1.1.0,Hamburger restaurants,3012305,THORVALD MEYERS GATE 47 A,59.9241550536053,10.758884654304198,,,2.536
999593194-999605419-502819,2016,BURGER BAR,1.1.1.0,Hamburger restaurants,3010205,STORGATA 21,59.91431796295079,10.7504888510547,,,14.137
911560089-911583380-488818,2016,ASIA VILLAGE,1.1.2.0,Sushi and wok restaurants,3010708,SKOVVEIEN 8,59.916457028764896,10.7162220033365,,,0.0
998053676-983450636-61983,2016,EAT SUSHI & MORE,1.1.2.0,Sushi and wok restaurants,3010201,AKERSGATA 67,59.9169019676537,10.743917006131802,,,5.353
898083802-996036316-167705,2016,FUJI SUSHI  SANDEFJORD,1.1.2.0,Sushi and wok restaurants,7060106,AAGAARDS PLASS 5,59.131557854007,10.219028887713302,FUJI SUSHI,,3.3710000000000004
993361747-893374582-5810,2016,WOK HERKULES,1.1.2.0,Sushi and wok restaurants,8060401,ULEFOSSVEGEN,59.19738525306721,9.605014405859391,,Herkules,8.352
994984322-994996819-122538,2016,FUJI SUSHI TØNSBERG,1.1.2.0,Sushi and wok restaurants,7040908,STORGATEN 20,59.2661583574265,10.4085994571267,FUJI SUSHI,,3.14
917216843-917270570-840544,2016,SON SUSHI AS,1.1.2.0,Sushi and wok restaurants,2110212,SAGAVEIEN 74,59.5247700462197,10.6882781493695,,,1.521
