,0
grunnkrets_id,0
age_0,0
age_1,0
age_2,0
age_3,0
age_4,0
age_5,0
age_6,0
age_7,0
age_8,0
age_9,0
age_10,0
age_11,0
age_12,0
age_13,0
age_14,0
age_15,0
age_16,0
age_17,0
age_18,0
age_19,0
age_20,0
age_21,0
age_22,0
age_23,0
age_24,0
age_25,0
age_26,0
age_27,0
age_28,0
age_29,0
age_30,0
age_31,0
age_32,0
age_33,0
age_34,0
age_35,0
age_36,0
age_37,0
age_38,0
age_39,0
age_40,0
age_41,0
age_42,0
age_43,0
age_44,0
age_45,0
age_46,0
age_47,0
age_48,0
age_49,0
age_50,0
age_51,0
age_52,0
age_53,0
age_54,0
age_55,0
age_56,0
age_57,0
age_58,0
age_59,0
age_60,0
age_61,0
age_62,0
age_63,0
age_64,0
age_65,0
age_66,0
age_67,0
age_68,0
age_69,0
age_70,0
age_71,0
age_72,0
age_73,0
age_74,0
age_75,0
age_76,0
age_77,0
age_78,0
age_79,0
age_80,0
age_81,0
age_82,0
age_83,0
age_84,0
age_85,0
age_86,0
age_87,0
age_88,0
age_89,0
age_90,0
