,variable,relative_importance,scaled_importance,percentage
0,remainder__chain_name,18660.755859375,1.0,0.45320297708330987
1,remainder__lv4,5645.49853515625,0.302533218788134,0.13710895542137866
2,remainder__municipality_name,5519.15673828125,0.2957627643742241,0.13404056532478786
3,remainder__mall_name,3578.937744140625,0.19178953795393008,0.08691958957415356
4,remainder__sales_channel_name_x,3199.3896484375,0.17145016378477268,0.07770172464868005
5,remainder__store_id,2001.7474365234375,0.10727043703954667,0.0486152814193503
6,remainder__plaace_hierarchy_id,1793.5133056640625,0.09611150369147653,0.043558019604930685
7,remainder__level3,371.1111145019531,0.019887249868043806,0.009012960846197113
8,pipeline-2__distance_to_lv1_desc,236.39834594726562,0.01266820849748705,0.0057412698053732145
9,pipeline-2__distance_to_lv2_desc,68.03134155273438,0.0036456905639519433,0.0016522378171075515
10,pipeline-1__lv1_desc_in_radius,25.513580322265625,0.0013672318803446446,0.0006196335585354046
11,pipeline-1__lv3_desc_in_radius,13.09937572479248,0.0007019745514869629,0.00031813695657061276
12,pipeline-2__grunnkrets_id_density,12.53719425201416,0.0006718481473361961,0.0003044835805206703
13,remainder__store_name,12.497393608093262,0.0006697152946146434,0.00030351696531758236
14,pipeline-2__distance_to_lv4_desc,9.63135814666748,0.0005161290474645361,0.00023391122087010072
15,pipeline-1__lv2_desc_in_radius,6.441713333129883,0.0003452010937645713,0.0001564461633865185
16,pipeline-2__distance_to_lv3_desc,4.936337947845459,0.00026453043944441756,0.00011988598268536626
17,pipeline-2__area_km2,4.660233020782471,0.00024973441890035824,0.00011318038212581276
18,pipeline-2__distance_to_annen_viktig_holdeplass,3.731074333190918,0.00019994229394070654,9.061444285879443e-05
19,pipeline-2__distance_to_lokalt_knutepunkt,3.606546640396118,0.0001932690544570959,8.759011085803219e-05
20,pipeline-2__municipality_name_density,3.28340482711792,0.00017595240256403473,7.974215266698154e-05
21,remainder__t_district,0.7937331795692444,4.2534889023291077e-05,1.9276938335263717e-05
22,pipeline-1__all_households,0.0,0.0,0.0
23,pipeline-1__all_stores_in_radius,0.0,0.0,0.0
24,pipeline-1__lv4_desc_in_radius,0.0,0.0,0.0
25,pipeline-2__t_district_density,0.0,0.0,0.0
26,pipeline-2__distance_to_regionalt_knutepunkt,0.0,0.0,0.0
27,pipeline-2__distance_to_nasjonalt_knutepunkt,0.0,0.0,0.0
28,remainder__grunnkrets_id,0.0,0.0,0.0
29,remainder__address,0.0,0.0,0.0
30,remainder__lv1,0.0,0.0,0.0
31,remainder__level2,0.0,0.0,0.0
