,variable,relative_importance,scaled_importance,percentage
0,remainder__chain_name,12661.6171875,1.0,0.3329506015752667
1,remainder__municipality_name,6304.5712890625,0.4979278077753447,0.16578536313985476
2,remainder__lv4,4700.19091796875,0.37121568661931637,0.12359648617407706
3,remainder__sales_channel_name_x,3484.1591796875,0.2751748949673811,0.09161964681780037
4,remainder__mall_name,3355.898681640625,0.2650450279727054,0.08824690150804565
5,remainder__plaace_hierarchy_id,2500.4921875,0.19748600439196465,0.06575308396500039
6,remainder__level3,1584.1036376953125,0.12511068801378675,0.041655678837685804
7,remainder__store_id,1524.4417724609375,0.12039866234195745,0.04008680705561214
8,remainder__level2,348.58880615234375,0.02753114400714018,0.009166510959232621
9,pipeline-2__distance_to_lv2_desc,206.81288146972656,0.016333844121736645,0.00543836322636885
10,pipeline-1__all_stores_in_radius,198.33343505859375,0.015664147171847494,0.005215387224030135
11,remainder__store_name,182.46328735351562,0.01441074111241097,0.00479806492252266
12,pipeline-2__area_km2,109.29862976074219,0.008632280390584363,0.0028741229490114417
13,pipeline-1__lv2_desc_in_radius,105.98069763183594,0.008370233917391206,0.002786874418121103
14,pipeline-2__distance_to_lv3_desc,100.65436553955078,0.007949566319136576,0.0026468128882190015
15,remainder__t_district,99.52156066894531,0.007860098690015407,0.0026170245872815952
16,pipeline-2__distance_to_lokalt_knutepunkt,71.94830322265625,0.005682394449082396,0.0018919566502099395
17,remainder__grunnkrets_id,71.5428466796875,0.005650371956460439,0.0018812947420275197
18,pipeline-1__all_households,66.69282531738281,0.005267322833233684,0.0017537583060162933
19,pipeline-2__distance_to_regionalt_knutepunkt,64.96541595458984,0.005130894023452709,0.0017083342517275198
20,pipeline-1__lv3_desc_in_radius,58.454078674316406,0.004616636074894474,0.001537111758390193
21,pipeline-2__distance_to_nasjonalt_knutepunkt,58.23055648803711,0.004598982549047873,0.0015312340063396426
22,pipeline-1__avg_household_income_municipality_name,57.46537780761719,0.004538549614685007,0.001511112824488568
23,pipeline-2__distance_to_annen_viktig_holdeplass,48.65413284301758,0.00384264759568396,0.0012794118286247266
24,pipeline-1__avg_household_income_t_district,32.908878326416016,0.0025991054569952433,0.0008653737254641247
25,pipeline-2__municipality_name_density,30.015308380126953,0.002370574622154833,0.0007892842465255121
26,remainder__lv1,0.5094836950302124,4.023843775131607e-05,1.3397412055749606e-05
