,0
0,store_id
1,store_name
2,plaace_hierarchy_id
3,sales_channel_name_x
4,grunnkrets_id
5,address
6,lat
7,lon
8,chain_name
9,mall_name
10,sales_channel_name_y
11,lv1
12,lv1_desc
13,lv2
14,lv2_desc
15,lv3
16,lv3_desc
17,lv4
18,lv4_desc
19,level2
20,level3
21,grunnkrets_name
22,district_name
23,municipality_name
24,geometry
25,area_km2
26,t_district
27,all_households
28,singles
29,couple_without_children
30,couple_with_children
31,other_households
32,single_parent_with_children
33,distance_to_lv1_desc
34,distance_to_lv2_desc
35,distance_to_lv3_desc
36,distance_to_lv4_desc
37,lv1_desc_in_radius
38,lv2_desc_in_radius
39,lv3_desc_in_radius
40,lv4_desc_in_radius
41,all_stores_in_radius
42,Cluster 0 similarity
43,Cluster 1 similarity
44,Cluster 2 similarity
45,Cluster 3 similarity
46,Cluster 4 similarity
47,Cluster 5 similarity
48,Cluster 6 similarity
49,Cluster 7 similarity
50,Cluster 8 similarity
51,Cluster 9 similarity
52,Cluster 10 similarity
53,Cluster 11 similarity
54,Cluster 12 similarity
55,Cluster 13 similarity
56,Cluster 14 similarity
57,Cluster 15 similarity
58,Cluster 16 similarity
59,Cluster 17 similarity
60,Cluster 18 similarity
61,Cluster 19 similarity
62,Cluster 20 similarity
63,Cluster 21 similarity
64,Cluster 22 similarity
65,Cluster 23 similarity
66,Cluster 24 similarity
67,Cluster 25 similarity
68,Cluster 26 similarity
69,Cluster 27 similarity
70,Cluster 28 similarity
71,Cluster 29 similarity
72,Cluster 30 similarity
73,Cluster 31 similarity
74,Cluster 32 similarity
75,Cluster 33 similarity
76,Cluster 34 similarity
77,Cluster 35 similarity
78,Cluster 36 similarity
79,Cluster 37 similarity
80,Cluster 38 similarity
81,Cluster 39 similarity
82,grunnkrets_id_density
83,t_district_density
84,municipality_name_density
85,avg_household_income_grunnkrets_id
86,avg_household_income_t_district
87,avg_household_income_municipality_name
88,distance_to_mangler_viktighetsnivå
89,distance_to_standard_holdeplass
90,distance_to_lokalt_knutepunkt
91,distance_to_nasjonalt_knutepunkt
92,distance_to_regionalt_knutepunkt
93,distance_to_annen_viktig_holdeplass
94,grunnkrets_id_kids_%
95,grunnkrets_id_kids+_%
96,grunnkrets_id_youths_%
97,grunnkrets_id_youthAdult_%
98,grunnkrets_id_adult_%
99,grunnkrets_id_adults+_%
100,grunnkrets_id_pensinors_%
101,t_district_kids_%
102,t_district_kids+_%
103,t_district_youths_%
104,t_district_youthAdult_%
105,t_district_adult_%
106,t_district_adults+_%
107,t_district_pensinors_%
108,municipality_name_kids_%
109,municipality_name_kids+_%
110,municipality_name_youths_%
111,municipality_name_youthAdult_%
112,municipality_name_adult_%
113,municipality_name_adults+_%
114,municipality_name_pensinors_%
115,distance_closest_mall_name
116,distance_closest_chain_name
