,variable,relative_importance,scaled_importance,percentage
0,remainder__chain_name.CHOICE HOTELS & RESORTS,0.8510798215866089,1.0,0.005575054230178398
1,remainder__chain_name.REMA FRANCHISE NORGE,0.6174353361129761,0.7254728880329161,0.004044550693307648
2,remainder__chain_name.nan,0.5371785759925842,0.6311729668213254,0.00351882351865148
3,remainder__chain_name.NÆRBUTIKKEN,0.47727203369140625,0.5607841022498468,0.003126401781464804
4,remainder__chain_name.SPAR,0.4728195369243622,0.5555525168519654,0.0030972354091618054
5,remainder__chain_name.EUROPRIS,0.4174555838108063,0.49050109428346317,0.002734570200592155
6,remainder__chain_name.MIX,0.41474610567092896,0.4873175172896787,0.002716821586205858
7,remainder__store_type_chain.Food and drinks_False,0.3790709972381592,0.4454000525256062,0.002483129446954562
8,remainder__chain_name.MENY,0.3212563693523407,0.37746914120633807,0.0021044109324442023
9,remainder__chain_name.BOHUS,0.3156232237815857,0.37085031953077124,0.002067510642663037
10,remainder__chain_name.YX NORGE,0.30329397320747375,0.3563637223146284,0.001986747077572289
11,remainder__store_type_chain.Cars and boats_False,0.3014128506183624,0.35415344480434213,0.0019744246605886994
12,remainder__chain_name.ESSO NORGE,0.29348254203796387,0.34483550730981355,0.00192247665374329
13,remainder__chain_name.ELKJØP NORGE,0.29151833057403564,0.3425276022060755,0.0019096099576318447
14,remainder__store_type_chain.Food and drinks_True,0.28066307306289673,0.32977291429571914,0.0018385018808426076
15,remainder__chain_name.COOP EXTRA,0.27666205167770386,0.3250718025037206,0.0018122929276600842
16,remainder__chain_name.SKEIDAR,0.2755577564239502,0.3237742799614812,0.001805059169122221
17,remainder__chain_name.SPECSAVERS NORWAY,0.26185208559036255,0.3076704193294231,0.001715279272783262
18,remainder__chain_name.INTERFLORA NORGE SA,0.2575973570346832,0.3026712072135166,0.0016874083941289184
19,remainder__chain_name.SUNKOST BUTIKK,0.2571754455566406,0.30217547054188915,0.0016846446353007073
20,remainder__chain_name.MØBELRINGEN,0.2541799545288086,0.2986558347194257,0.001665022474719995
21,remainder__sales_channel_name_x.Pharmacies,0.24525439739227295,0.2881685021447956,0.0016065550268865155
22,remainder__lv4_desc.Pharmacies,0.24525439739227295,0.2881685021447956,0.0016065550268865155
23,remainder__lv3_desc.Pharmacies,0.24525439739227295,0.2881685021447956,0.0016065550268865155
24,remainder__chain_name.MATKROKEN,0.24458013474941254,0.2873762584259827,0.0016021382251906154
25,remainder__chain_name.KIWI NORGE,0.2443488985300064,0.2871045609734746,0.0016006234971586814
26,remainder__chain_name.SPORT 1 BUTIKKENE,0.22839094698429108,0.26835432023111266,0.0014960898881911132
27,remainder__sales_channel_name_x.Health food stores,0.22677846252918243,0.26645968659721614,0.0014855272029358202
28,remainder__lv4_desc.Health food stores,0.22677846252918243,0.26645968659721614,0.0014855272029358202
29,remainder__lv3_desc.Health food stores,0.22677846252918243,0.26645968659721614,0.0014855272029358202
30,remainder__sales_channel_name_x.Thrift shops - home furnishings and decor,0.2255246639251709,0.2649865009191981,0.0014773141128897474
31,remainder__lv4_desc.Thrift shops - home furnishings and decor,0.2255246639251709,0.2649865009191981,0.0014773141128897474
32,remainder__lv3_desc.Thrift shops - home furnishings and decor,0.2255246639251709,0.2649865009191981,0.0014773141128897474
33,remainder__chain_name.EGON,0.22085323929786682,0.25949768011905805,0.0014467136392692355
34,remainder__chain_name.BEST STASJON,0.21727484464645386,0.2552931454083866,0.0014232731302445747
35,remainder__address_first.RUSELØKKVEIEN_Oslo,0.21527114510536194,0.25293884268580935,0.0014101477648919497
36,remainder__sales_channel_name_x.Fruit and vegetable shops,0.21412676572799683,0.25159422218331434,0.0014026514326715305
37,remainder__lv4_desc.Fruit and vegetable shops,0.21412676572799683,0.25159422218331434,0.0014026514326715305
38,remainder__lv3_desc.Fruit and vegetable shops,0.21412676572799683,0.25159422218331434,0.0014026514326715305
39,remainder__sales_channel_name_x.Belongs to dining,0.20642054080963135,0.2425395780442966,0.0013521713005615395
40,remainder__lv4_desc.Belongs to dining,0.20642054080963135,0.2425395780442966,0.0013521713005615395
41,remainder__store_type_chain.House and building_False,0.20438873767852783,0.24015225422393416,0.0013388618407980224
42,remainder__chain_name.CUBUS,0.1996299773454666,0.23456081589775016,0.0013076892689048486
43,remainder__store_type_chain.Cars and boats_True,0.19908905029296875,0.23392523855379496,0.0013041458907448256
44,remainder__chain_name.BYGGTORGET,0.19832393527030945,0.2330262452945811,0.0012991339545721436
45,remainder__chain_name.NORSKE SHELL,0.19499382376670837,0.22911343780092797,0.0012773198406027789
46,remainder__chain_name.DE HISTORISKE HOTEL & SPISESTEDER,0.18736739456653595,0.22015255186903615,0.0012273624155820393
47,remainder__lv2_desc.House and building,0.18677502870559692,0.21945653506084217,0.001223482084131242
48,remainder__address_first.STORTINGSGATA_Oslo,0.18358729779720306,0.21571102162304123,0.00120260064359564
49,remainder__address_first.KARL JOHANS GATE_Oslo,0.1779848039150238,0.20912821500481485,0.0011659011397122507
50,remainder__store_type_mall.Jewelry and perfume_False,0.17758578062057495,0.20865937144357874,0.0011632873114328895
51,remainder__store_type_chain.Jewelry and perfume_False,0.17434406280517578,0.20485042458198371,0.0011420522261196293
52,remainder__sales_channel_name_x.Photographers,0.17121942341327667,0.201179042283113,0.0011215840707037082
53,remainder__lv4_desc.Photographers,0.17121942341327667,0.201179042283113,0.0011215840707037082
54,remainder__lv3_desc.Photographers,0.17121942341327667,0.201179042283113,0.0011215840707037082
55,remainder__municipality_name.Trysil,0.16599296033382416,0.19503806355598355,0.0010873477812735895
56,remainder__chain_name.G-SPORT,0.16483263671398163,0.1936747089205988,0.0010797470052463544
57,remainder__chain_name.JAFS,0.16437530517578125,0.1931373544602994,0.001076751224989357
58,remainder__sales_channel_name_x.Electronics stores,0.1637866199016571,0.19244566226035192,0.0010728950034640584
59,remainder__lv4_desc.Electronics stores,0.1637866199016571,0.19244566226035192,0.0010728950034640584
60,remainder__lv3_desc.Electronics stores,0.1637866199016571,0.19244566226035192,0.0010728950034640584
61,remainder__chain_name.LEATHERMAN HOLDING,0.16186077892780304,0.1901828416352972,0.001060279655766212
62,remainder__sales_channel_name_x.Construction workers,0.1617552489042282,0.19005884618751642,0.001059588374420539
63,remainder__lv4_desc.Construction workers,0.1617552489042282,0.19005884618751642,0.001059588374420539
64,remainder__lv3_desc.Construction workers,0.1617552489042282,0.19005884618751642,0.001059588374420539
65,remainder__address_first.TRONDHEIMSVEIEN_Oslo,0.1585257351398468,0.186264238816423,0.0010384332325444586
66,remainder__store_type_mall.House and building_True,0.15848344564437866,0.18621454959292655,0.0010381562124288104
67,remainder__municipality_name.Kragerø,0.1580076515674591,0.18565550205725292,0.0010350394921001822
68,remainder__store_type_chain.Clothing stores_False,0.1558746099472046,0.18314922524730806,0.0010210668629689011
