,variable,relative_importance,scaled_importance,percentage
0,remainder__chain_name.nan,5723.75341796875,1.0,0.42977252020241763
1,remainder__lv4.2.8.1.0,1069.3619384765625,0.18682879229553856,0.08029388091122763
2,remainder__lv1_desc.Services,856.9356079101562,0.14971567524553953,0.06434368306408224
3,pipeline__distance_to_lv1_desc,537.5677490234375,0.0939187469774353,0.040363696582745565
4,pipeline__all_stores_in_radius,483.17230224609375,0.08441528957716042,0.03627937174519311
5,pipeline__distance_to_lv2_desc,232.3616180419922,0.040596021714096285,0.01744705456225923
6,remainder__lv2_desc.House and building,226.6597900390625,0.03959985231500411,0.01701892832906286
7,pipeline__area_km2,179.9638671875,0.03144158282964009,0.013512728291847482
8,remainder__chain_name.CHOICE HOTELS & RESORTS,175.8187255859375,0.030717382938612366,0.013201487079550182
9,pipeline__lv1_desc_in_radius,174.77540588378906,0.030535103999258847,0.013123148600404396
10,remainder__lv4.2.9.4.0,166.61099243164062,0.029108694988256092,0.012510117204906305
11,pipeline__distance_to_lv3_desc,162.40745544433594,0.02837429280836686,0.01219449132921316
12,remainder__mall_name.nan,123.05216979980469,0.02149850994864722,0.009239468801226863
13,pipeline__other_households,120.02611541748047,0.02096982638013002,0.00901225513159562
14,pipeline__all_households,113.01663208007812,0.01974519582295101,0.008485942570719905
15,pipeline__couple_without_children,104.59346771240234,0.018273580302053012,0.007853482659534578
16,remainder__lv4.2.2.1.0,98.26310729980469,0.01716759967180354,0.007378162576777205
17,pipeline__couple_with_children,95.12059020996094,0.016618568841792875,0.007142204213294697
18,remainder__lv4.1.1.6.4,94.38074493408203,0.016489310080652627,0.007086652349761209
19,remainder__lv3_desc.Other dining,94.2052993774414,0.01645865789425867,0.007073478882364964
20,remainder__lv2_desc.Food and drinks,90.35575866699219,0.015786102591934806,0.006784433095109739
21,pipeline__singles,84.28470611572266,0.01472542577587727,0.0063285833467524154
22,pipeline__single_parent_with_children,84.25218963623047,0.014719744804473068,0.0063261418213548335
23,remainder__lv4.2.7.1.0,81.40756225585938,0.014222758443837602,0.006112550740638302
24,pipeline__lv3_desc_in_radius,77.03833770751953,0.013459408902149904,0.005784484084311819
25,remainder__lv4.2.7.6.0,76.45137786865234,0.013356860836919747,0.005740411743875973
26,remainder__lv4.1.1.6.2,67.98918914794922,0.011878427350575363,0.005105021658498101
27,remainder__chain_name.EUROPRIS,62.57185745239258,0.010931962452463253,0.004698257053953334
28,remainder__chain_name.REMA FRANCHISE NORGE,61.73380661010742,0.010785546144651277,0.004635331348346249
29,remainder__lv4.3.2.4.0,52.57615280151367,0.009185607583383971,0.003947721720701368
30,remainder__lv4.2.3.1.0,52.3259162902832,0.00914188862958612,0.003928932515747052
31,pipeline__lv2_desc_in_radius,51.988494873046875,0.009082937554549055,0.003903596963659732
32,remainder__lv2_desc.Cars and boats,51.98160171508789,0.00908173324726053,0.003903079385481244
33,pipeline__distance_to_lv4_desc,47.62312316894531,0.008320261145324782,0.0035758196011684857
34,remainder__chain_name.NÆRBUTIKKEN,47.5974006652832,0.008315767153046681,0.003573888206781356
35,remainder__lv4.2.8.2.0,41.269569396972656,0.007210228390939041,0.003098758026808894
36,remainder__chain_name.SPAR,41.215049743652344,0.007200703233347668,0.003094664375825525
37,remainder__lv4.2.9.8.0,38.40885925292969,0.006710432202119611,0.002883959359152404
38,remainder__lv4.2.6.3.2,37.38274002075195,0.006531158366011226,0.002806912390801749
