,0
0,store_id
1,store_name
2,plaace_hierarchy_id
3,sales_channel_name_x
4,grunnkrets_id
5,address
6,lat
7,lon
8,chain_name
9,mall_name
10,sales_channel_name_y
11,lv1
12,lv1_desc
13,lv2
14,lv2_desc
15,lv3
16,lv3_desc
17,lv4
18,lv4_desc
19,level2
20,level3
21,grunnkrets_name
22,district_name
23,municipality_name
24,geometry
25,area_km2
26,t_district
27,all_households
28,singles
29,couple_without_children
30,couple_with_children
31,other_households
32,single_parent_with_children
33,distance_to_lv1_desc
34,distance_to_lv2_desc
35,distance_to_lv3_desc
36,distance_to_lv4_desc
37,lv1_desc_in_radius
38,lv2_desc_in_radius
39,lv3_desc_in_radius
40,lv4_desc_in_radius
41,all_stores_in_radius
42,Cluster 0 similarity
43,Cluster 1 similarity
44,Cluster 2 similarity
45,Cluster 3 similarity
46,Cluster 4 similarity
47,Cluster 5 similarity
48,Cluster 6 similarity
49,Cluster 7 similarity
50,Cluster 8 similarity
51,Cluster 9 similarity
52,Cluster 10 similarity
53,Cluster 11 similarity
54,Cluster 12 similarity
55,Cluster 13 similarity
56,Cluster 14 similarity
57,Cluster 15 similarity
58,Cluster 16 similarity
59,Cluster 17 similarity
60,Cluster 18 similarity
61,Cluster 19 similarity
62,Cluster 20 similarity
63,Cluster 21 similarity
64,Cluster 22 similarity
65,Cluster 23 similarity
66,Cluster 24 similarity
67,Cluster 25 similarity
68,Cluster 26 similarity
69,Cluster 27 similarity
70,Cluster 28 similarity
71,Cluster 29 similarity
72,Cluster 30 similarity
73,Cluster 31 similarity
74,Cluster 32 similarity
75,Cluster 33 similarity
76,Cluster 34 similarity
77,Cluster 35 similarity
78,Cluster 36 similarity
79,Cluster 37 similarity
80,Cluster 38 similarity
81,Cluster 39 similarity
82,Cluster 40 similarity
83,Cluster 41 similarity
84,Cluster 42 similarity
85,Cluster 43 similarity
86,Cluster 44 similarity
87,Cluster 45 similarity
88,Cluster 46 similarity
89,Cluster 47 similarity
90,Cluster 48 similarity
91,Cluster 49 similarity
92,Cluster 50 similarity
93,Cluster 51 similarity
94,Cluster 52 similarity
95,Cluster 53 similarity
96,Cluster 54 similarity
97,Cluster 55 similarity
98,Cluster 56 similarity
99,Cluster 57 similarity
100,Cluster 58 similarity
101,Cluster 59 similarity
102,Cluster 60 similarity
103,Cluster 61 similarity
104,Cluster 62 similarity
105,Cluster 63 similarity
106,Cluster 64 similarity
107,Cluster 65 similarity
108,Cluster 66 similarity
109,Cluster 67 similarity
110,Cluster 68 similarity
111,Cluster 69 similarity
112,Cluster 70 similarity
113,Cluster 71 similarity
114,Cluster 72 similarity
115,Cluster 73 similarity
116,Cluster 74 similarity
117,Cluster 75 similarity
118,Cluster 76 similarity
119,Cluster 77 similarity
120,Cluster 78 similarity
121,Cluster 79 similarity
122,Cluster 80 similarity
123,Cluster 81 similarity
124,Cluster 82 similarity
125,Cluster 83 similarity
126,Cluster 84 similarity
127,Cluster 85 similarity
128,Cluster 86 similarity
129,Cluster 87 similarity
130,Cluster 88 similarity
131,Cluster 89 similarity
132,Cluster 90 similarity
133,Cluster 91 similarity
134,Cluster 92 similarity
135,Cluster 93 similarity
136,Cluster 94 similarity
137,Cluster 95 similarity
138,Cluster 96 similarity
139,Cluster 97 similarity
140,Cluster 98 similarity
141,Cluster 99 similarity
142,Cluster 100 similarity
143,Cluster 101 similarity
144,Cluster 102 similarity
145,Cluster 103 similarity
146,Cluster 104 similarity
147,Cluster 105 similarity
148,Cluster 106 similarity
149,Cluster 107 similarity
150,Cluster 108 similarity
151,Cluster 109 similarity
152,Cluster 110 similarity
153,Cluster 111 similarity
154,Cluster 112 similarity
155,Cluster 113 similarity
156,Cluster 114 similarity
157,Cluster 115 similarity
158,Cluster 116 similarity
159,Cluster 117 similarity
160,Cluster 118 similarity
161,Cluster 119 similarity
162,Cluster 120 similarity
163,Cluster 121 similarity
164,Cluster 122 similarity
165,Cluster 123 similarity
166,Cluster 124 similarity
167,Cluster 125 similarity
168,Cluster 126 similarity
169,Cluster 127 similarity
170,Cluster 128 similarity
171,Cluster 129 similarity
172,Cluster 130 similarity
173,Cluster 131 similarity
174,Cluster 132 similarity
175,Cluster 133 similarity
176,Cluster 134 similarity
177,Cluster 135 similarity
178,Cluster 136 similarity
179,Cluster 137 similarity
180,Cluster 138 similarity
181,Cluster 139 similarity
182,Cluster 140 similarity
183,Cluster 141 similarity
184,Cluster 142 similarity
185,Cluster 143 similarity
186,Cluster 144 similarity
187,Cluster 145 similarity
188,Cluster 146 similarity
189,Cluster 147 similarity
190,Cluster 148 similarity
191,Cluster 149 similarity
192,Cluster 150 similarity
193,Cluster 151 similarity
194,Cluster 152 similarity
195,Cluster 153 similarity
196,Cluster 154 similarity
197,Cluster 155 similarity
198,Cluster 156 similarity
199,Cluster 157 similarity
200,Cluster 158 similarity
201,Cluster 159 similarity
202,Cluster 160 similarity
203,Cluster 161 similarity
204,Cluster 162 similarity
205,Cluster 163 similarity
206,Cluster 164 similarity
207,Cluster 165 similarity
208,Cluster 166 similarity
209,Cluster 167 similarity
210,Cluster 168 similarity
211,Cluster 169 similarity
212,Cluster 170 similarity
213,Cluster 171 similarity
214,Cluster 172 similarity
215,Cluster 173 similarity
216,Cluster 174 similarity
217,Cluster 175 similarity
218,Cluster 176 similarity
219,Cluster 177 similarity
220,Cluster 178 similarity
221,Cluster 179 similarity
222,Cluster 180 similarity
223,Cluster 181 similarity
224,Cluster 182 similarity
225,Cluster 183 similarity
226,Cluster 184 similarity
227,Cluster 185 similarity
228,Cluster 186 similarity
229,Cluster 187 similarity
230,Cluster 188 similarity
231,Cluster 189 similarity
232,Cluster 190 similarity
233,Cluster 191 similarity
234,Cluster 192 similarity
235,Cluster 193 similarity
