,variable,relative_importance,scaled_importance,percentage
0,chain_name.nan,5716.5224609375,1.0,0.42034325118169563
1,lv3,1150.0118408203125,0.20117332673467928,0.08456185021069261
2,sales_channel_name_x.Grocery stores,1088.636474609375,0.19043684023780438,0.08004884057032785
3,distance_to_lv1_desc,569.8602294921875,0.09968651980048923,0.04190255583192612
4,distance_to_lv2_desc,248.30776977539062,0.04343685719283758,0.018258389773552368
5,sales_channel_name_x.Furniture stores,229.3522186279297,0.0401209336961682,0.016864563710292584
6,chain_name.CHOICE HOTELS & RESORTS,180.51095581054688,0.03157705703844001,0.013273202818287718
7,grunnkrets_id_density,155.70960998535156,0.027238519755560527,0.011449527951429157
8,distance_to_lv3_desc,153.56134033203125,0.026862719665908117,0.011291562919950291
9,lv2_desc.House and building,147.23431396484375,0.025755923285692393,0.010826328531094281
10,distance_to_regionalt_knutepunkt,147.16592407226562,0.025743959737390878,0.010821299734305553
11,t_district_density,143.54156494140625,0.025109945062275794,0.010554795944470771
12,distance_to_standard_holdeplass,140.78623962402344,0.024627951798677047,0.010352193329001998
13,sales_channel_name_x.Belongs to dining,134.15670776367188,0.023468237670786724,0.009864715322043235
14,distance_to_nasjonalt_knutepunkt,127.37284088134766,0.022281525481920125,0.009365888862358103
15,lon,121.21293640136719,0.02120396398853447,0.008912943160880173
16,mall_name.nan,108.5500259399414,0.018988821732389274,0.007981823063102144
17,distance_to_lokalt_knutepunkt,96.83682250976562,0.01693981317688806,0.007120536145183655
18,sales_channel_name_x.Pharmacies,92.83958435058594,0.016240570204172765,0.006826614080666555
19,sales_channel_name_x.Sporting goods stores,90.52749633789062,0.015836113118856576,0.006656603274461275
20,distance_to_mangler_viktighetsnivå,90.00007629394531,0.01574385072549605,0.0066178214000743064
21,municipality_name_density,89.03211975097656,0.015574524609910384,0.00654664631013906
22,singles,86.3630599975586,0.015107621913094905,0.006350386912574141
23,lv2_desc.Food and drinks,86.13097381591797,0.015067022723075706,0.0063333213170461275
24,other_households,84.4715805053711,0.014776742518303321,0.006211303992018415
25,distance_to_annen_viktig_holdeplass,80.68311309814453,0.014114020131902471,0.005932733109487789
26,single_parent_with_children,77.9136962890625,0.013629561822151012,0.005729094328504872
27,lv2,76.47832489013672,0.013378470112333715,0.005623549622855498
28,grunnkrets_id,74.50550842285156,0.013033362316332574,0.005478485889876229
29,couple_with_children,74.06322479248047,0.012955992965753909,0.005445964205512177
30,couple_without_children,72.9607162475586,0.012763129463081503,0.005364895333764569
31,chain_name.EUROPRIS,72.78797912597656,0.012732912294730923,0.00535219375097858
32,distance_to_lv4_desc,71.32183074951172,0.012476436721253616,0.00524438597457444
33,sales_channel_name_x.Other stores,70.61296081542969,0.012352433021639747,0.005192261856320188
34,lv3_desc.Other dining,67.4742431640625,0.011803372351833083,0.004961467909277655
